,Years,OpeningPrice,Year
515,2005-12-22,550.956,2005
516,2005-12-23,550.956,2005
517,2005-12-26,550.956,2005
518,2005-12-27,551.0419999999999,2005
519,2005-12-28,513.09,2005
520,2005-12-29,513.1,2005
521,2005-12-30,513.53,2005
522,2006-01-02,513.31,2006
523,2006-01-03,513.47,2006
524,2006-01-04,510.97,2006
525,2006-01-05,513.59,2006
526,2006-01-06,511.24,2006
527,2006-01-09,551.102,2006
528,2006-01-10,551.102,2006
529,2006-01-11,551.102,2006
530,2006-01-12,551.102,2006
531,2006-01-13,551.102,2006
532,2006-01-16,551.308,2006
533,2006-01-17,552.249,2006
534,2006-01-18,551.425,2006
535,2006-01-19,517.48,2006
536,2006-01-20,517.43,2006
537,2006-01-23,518.27,2006
538,2006-01-24,551.6569999999999,2006
539,2006-01-25,518.1,2006
540,2006-01-26,552.1569999999999,2006
541,2006-01-27,552.1569999999999,2006
542,2006-01-30,552.347,2006
543,2006-01-31,552.2819999999999,2006
544,2006-02-01,517.94,2006
545,2006-02-02,517.07,2006
546,2006-02-03,551.321,2006
547,2006-02-06,551.321,2006
548,2006-02-07,515.6,2006
549,2006-02-08,550.613,2006
550,2006-02-09,550.613,2006
551,2006-02-10,550.146,2006
552,2006-02-13,549.826,2006
553,2006-02-14,550.205,2006
554,2006-02-15,549.868,2006
555,2006-02-16,514.82,2006
556,2006-02-17,514.24,2006
557,2006-02-20,515.54,2006
558,2006-02-21,550.4780000000001,2006
559,2006-02-22,550.4780000000001,2006
560,2006-02-23,550.4780000000001,2006
561,2006-02-24,551.035,2006
562,2006-02-27,551.159,2006
563,2006-02-28,551.159,2006
564,2006-03-01,551.201,2006
565,2006-03-02,551.201,2006
566,2006-03-03,551.201,2006
567,2006-03-06,551.201,2006
568,2006-03-07,551.201,2006
569,2006-03-08,550.933,2006
570,2006-03-09,514.76,2006
571,2006-03-10,514.81,2006
572,2006-03-13,513.17,2006
573,2006-03-14,511.81,2006
574,2006-03-15,550.41,2006
575,2006-03-16,550.41,2006
576,2006-03-17,550.043,2006
577,2006-03-20,550.043,2006
578,2006-03-21,550.043,2006
579,2006-03-22,549.678,2006
580,2006-03-23,515.35,2006
581,2006-03-24,514.98,2006
582,2006-03-27,527.07,2006
583,2006-03-28,529.39,2006
584,2006-03-29,514.98,2006
585,2006-03-30,511.23,2006
586,2006-03-31,527.93,2006
587,2006-04-03,527.85,2006
588,2006-04-04,528.07,2006
589,2006-04-05,526.69,2006
590,2006-04-06,532.1,2006
591,2006-04-07,526.21,2006
592,2006-04-10,527.12,2006
593,2006-04-11,516.06,2006
594,2006-04-12,516.32,2006
595,2006-04-13,526.83,2006
596,2006-04-14,526.5,2006
597,2006-04-17,525.31,2006
598,2006-04-18,515.83,2006
599,2006-04-19,516.03,2006
600,2006-04-20,528.74,2006
601,2006-04-21,517.1,2006
602,2006-04-24,517.06,2006
603,2006-04-25,515.1,2006
604,2006-04-26,528.15,2006
605,2006-04-27,528.53,2006
606,2006-04-28,517.84,2006
607,2006-05-01,514.14,2006
608,2006-05-02,518.17,2006
609,2006-05-03,517.72,2006
610,2006-05-04,513.41,2006
611,2006-05-05,512.9,2006
612,2006-05-08,531.44,2006
613,2006-05-09,528.51,2006
